date,symbol,sector,action,price,shares,notional,position_shares_after,position_value_after,cash_after,total_equity_after,rsi,rsi_signal
2023-11-14,RTGZ,Rosneft Oil Company,buy,32200.0,0,10009.83,43.44,1398843.33,40039.33,1438882.66,19.88,buy
2023-11-15,SBER,Finance,sell,282.89,62,17540.64,6138.51,1736523.2,356851.26,2093374.46,70.75,sell
2023-11-16,OZON,Information technology,sell,2751.0,7,18176.85,654.13,1799507.95,152523.22,1952031.16,75.14,sell
2023-11-17,OZON,Information technology,sell,2756.0,7,18027.79,647.59,1784750.8,170551.01,1955301.81,76.23,sell
2023-11-20,OZON,Information technology,sell,2853.0,6,18475.67,641.11,1829091.11,189026.67,2018117.78,89.16,sell
2023-11-21,OZON,Information technology,sell,2990.5,6,19172.44,634.7,1898071.5,208199.11,2106270.61,94.79,sell
2023-11-22,OZON,Information technology,sell,2975.0,6,18882.34,628.35,1869351.31,227081.45,2096432.76,87.61,sell
2023-11-22,SBER,Finance,sell,286.16,61,17565.96,6077.13,1739030.16,374417.22,2113447.39,80.69,sell
2023-11-23,OZON,Information technology,sell,2944.0,6,18498.72,622.07,1831373.63,245580.17,2076953.8,72.28,sell
2023-11-23,RTGZ,Rosneft Oil Company,buy,33000.0,0,8007.87,43.69,1441605.07,32031.46,1473636.53,29.65,buy
2023-11-23,SBER,Finance,sell,286.19,61,17392.12,6016.35,1721820.35,391809.35,2113629.7,80.79,sell
2023-11-24,RTGZ,Rosneft Oil Company,buy,32500.0,0,6406.29,43.88,1426168.86,25625.17,1451794.03,23.52,buy
2023-11-24,SBER,Finance,sell,286.85,60,17257.91,5956.19,1708533.24,409067.26,2117600.49,83.64,sell
2023-11-27,RTGZ,Rosneft Oil Company,buy,32200.0,0,5125.03,44.04,1418129.25,20500.14,1438629.39,20.04,buy
2023-11-28,SBER,Finance,buy,279.91,292,81813.45,6248.48,1749010.73,327253.81,2076264.53,24.01,buy
2023-11-29,SBER,Finance,buy,276.8,236,65450.76,6484.93,1795028.73,261803.05,2056831.77,15.5,buy
2023-11-30,SBER,Finance,buy,277.5,189,52360.61,6673.62,1851928.79,209442.44,2061371.23,23.99,buy
2023-12-01,OZON,Information technology,buy,2756.5,18,49116.03,639.89,1763851.57,196464.14,1960315.71,19.26,buy
2023-12-01,SBER,Finance,buy,273.97,153,41888.49,6826.51,1870259.41,167553.95,2037813.36,14.03,buy
2023-12-04,OZON,Information technology,buy,2707.0,15,39292.83,654.4,1771469.94,157171.31,1928641.25,14.09,buy
2023-12-04,RTGZ,Rosneft Oil Company,buy,31800.0,0,4100.03,44.17,1404612.77,16400.11,1421012.88,18.63,buy
2023-12-04,SBER,Finance,buy,270.96,124,33510.79,6950.19,1883222.4,134043.16,2017265.56,9.38,buy
2023-12-05,RTGZ,Rosneft Oil Company,buy,31500.0,0,3280.02,44.27,1394641.73,13120.09,1407761.81,14.6,buy
2023-12-06,OZON,Information technology,buy,2697.5,12,31434.26,666.06,1796687.37,125737.05,1922424.41,22.48,buy
2023-12-06,RTGZ,Rosneft Oil Company,buy,31000.0,0,2624.02,44.36,1375128.57,10496.07,1385624.64,9.71,buy
2023-12-06,SBER,Finance,buy,267.58,100,26808.63,7050.38,1886539.4,107234.53,1993773.93,28.96,buy
2023-12-07,OZON,Information technology,buy,2640.0,10,25147.41,675.58,1783536.53,100589.64,1884126.17,14.83,buy
2023-12-07,RTGZ,Rosneft Oil Company,buy,31300.0,0,2099.21,44.43,1390535.48,8396.86,1398932.34,29.55,buy
2023-12-07,SBER,Finance,buy,265.12,81,21446.91,7131.27,1890642.38,85787.62,1976430.0,25.17,buy
2023-12-08,RTGZ,Rosneft Oil Company,buy,30700.0,0,1679.37,44.48,1365559.22,6717.48,1372276.71,18.29,buy
2023-12-08,SBER,Finance,buy,265.16,65,17157.52,7195.98,1908085.16,68630.1,1976715.26,25.39,buy
2023-12-11,OZON,Information technology,buy,2510.0,8,20117.93,683.6,1715828.79,80471.71,1796300.5,13.33,buy
2023-12-11,RTGZ,Rosneft Oil Company,buy,29800.0,0,1343.5,44.53,1326870.04,5373.99,1332244.03,10.16,buy
