symbol,name,source,currency,date,open_price,high_price,low_price,close_price,volume,created_at
BTC-USD,Bitcoin,unknown,USD,2020-01-14,8140.93,8879.51,8140.93,8827.76,44841784107.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-15,8825.34,8890.12,8657.19,8807.01,40102834650.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-16,8812.48,8846.46,8612.1,8723.79,31313981931.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-17,8725.21,8958.12,8677.32,8929.04,36372139320.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-18,8927.21,9012.2,8827.33,8942.81,32337772627.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-19,8941.45,9164.36,8620.08,8706.25,34217320471.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-20,8704.63,8745.59,8560.47,8657.64,26422375678.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-21,8658.99,8755.71,8544.52,8745.89,24097418512.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-22,8744.21,8792.99,8636.75,8680.88,22600204051.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-23,8680.65,8687.75,8333.64,8406.52,25770680779.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-24,8405.57,8514.67,8266.84,8445.43,24397913026.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-25,8440.12,8458.45,8296.22,8367.85,19647331549.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-26,8364.41,8602.4,8325.5,8596.83,22177678796.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-27,8597.31,8977.73,8597.31,8909.82,28647338393.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-28,8912.52,9358.59,8908.45,9358.59,34398744403.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-29,9357.47,9406.43,9269.47,9316.63,30682598115.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-30,9316.02,9553.13,9230.9,9508.99,32378792851.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-31,9508.31,9521.71,9230.78,9350.53,29432489719.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-01,9346.36,9439.32,9313.24,9392.88,25922656496.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-02,9389.82,9468.8,9217.82,9344.37,30835736946.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-03,9344.68,9540.37,9248.63,9293.52,30934096509.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-04,9292.84,9331.27,9112.81,9180.96,29893183716.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-05,9183.42,9701.3,9163.7,9613.42,35222060874.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-06,9617.82,9824.62,9539.82,9729.8,37628823716.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-07,9726.0,9834.72,9726.0,9795.94,34522718159.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-08,9793.07,9876.75,9678.91,9865.12,35172043762.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-09,9863.89,10129.44,9850.39,10116.67,35807884663.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-10,10115.56,10165.77,9784.56,9856.61,39386548075.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-11,9855.89,10210.05,9729.33,10208.24,37648059389.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-12,10202.39,10393.61,10202.39,10326.05,43444303830.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-13,10323.96,10457.63,10116.16,10214.38,49356071373.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-14,10211.55,10322.0,10125.53,10312.12,43338264162.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-15,10313.86,10341.56,9874.43,9889.42,43865054831.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-16,9889.18,10053.97,9722.39,9934.43,43374780305.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-17,9936.56,9938.82,9507.64,9690.14,45998298413.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-18,9691.23,10161.94,9632.38,10142.0,47271023953.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-19,10143.8,10191.68,9611.22,9633.39,46992019710.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-20,9629.33,9643.22,9507.9,9608.48,44925260237.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-21,9611.78,9723.01,9589.74,9686.44,40930547513.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-22,9687.71,9698.23,9600.73,9663.18,35838025154.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-23,9663.32,9937.4,9657.79,9924.52,41185185761.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-24,9921.58,9951.75,9537.04,9650.17,45080496648.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-25,9651.31,9652.74,9305.02,9341.71,42515259129.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-26,9338.29,9354.78,8704.43,8820.52,50420050762.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-27,8825.09,8932.89,8577.2,8784.49,45470195695.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-28,8788.73,8890.46,8492.93,8672.46,44605450443.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-02-29,8671.21,8775.63,8599.51,8599.51,35792392544.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-01,8599.76,8726.8,8471.21,8562.45,35349164300.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-02,8563.26,8921.31,8532.63,8869.67,42857674409.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-03,8865.39,8901.6,8704.99,8787.79,42386715821.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-04,8788.54,8843.37,8712.43,8755.25,34746706368.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-05,8760.29,9142.05,8757.25,9078.76,39698054597.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-06,9078.31,9167.7,9032.08,9122.55,40826885651.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-07,9121.6,9163.22,8890.74,8909.95,36216930370.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-08,8908.21,8914.34,8105.25,8108.12,39973102121.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-09,8111.15,8177.79,7690.1,7923.64,46936995808.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-10,7922.15,8136.95,7814.76,7909.73,42213940994.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-11,7910.09,7950.81,7642.81,7911.43,38682762605.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-12,7913.62,7929.12,4860.35,4970.79,53980357243.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-13,5017.83,5838.11,4106.98,5563.71,74156772075.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-14,5573.08,5625.23,5125.07,5200.37,36154506008.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-15,5201.07,5836.65,5169.28,5392.31,33997889639.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-16,5385.23,5385.23,4575.36,5014.48,45368026430.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-17,5002.58,5371.35,4981.91,5225.63,38622642935.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-18,5227.11,5331.83,5069.34,5238.44,37878801016.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-19,5245.42,6329.74,5236.97,6191.19,51000731797.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-20,6191.65,6844.26,5865.78,6198.78,54442976103.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-21,6206.52,6378.14,5932.82,6185.07,42494390880.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-22,6185.56,6359.7,5823.71,5830.25,40099664740.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-23,5831.37,6443.93,5785.0,6416.31,46491916000.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-24,6436.64,6789.02,6411.07,6734.8,48221910672.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-25,6738.72,6892.51,6536.93,6681.06,44590107888.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-26,6675.17,6735.46,6590.96,6716.44,35319797642.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-27,6719.39,6793.84,6466.7,6469.8,34585598367.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-28,6467.25,6467.5,6117.84,6242.19,34885225901.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-29,6245.62,6250.47,5920.09,5922.04,28373690931.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-30,5925.54,6517.2,5903.23,6429.84,37101651525.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-03-31,6430.61,6504.52,6374.16,6438.64,32786468812.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-01,6437.32,6612.57,6202.37,6606.78,40346426266.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-02,6606.78,7088.25,6595.92,6793.62,47660646124.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-03,6797.4,7003.22,6673.34,6733.39,38976504903.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-04,6738.38,6878.95,6696.48,6867.53,33185988584.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-05,6862.54,6883.41,6715.93,6791.13,29510409856.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-06,6788.05,7271.78,6782.89,7271.78,46896904615.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-07,7273.64,7427.94,7136.71,7176.41,44243482668.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-08,7179.28,7356.22,7153.31,7334.1,37563249549.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-09,7337.97,7341.45,7179.09,7302.09,34815139178.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-10,7303.82,7303.82,6802.48,6865.49,43622840992.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-11,6867.44,6926.07,6789.92,6859.08,31222085946.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-12,6858.07,7119.95,6811.08,6971.09,35759567632.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-13,6965.62,6965.62,6668.26,6845.04,38619308647.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-14,6843.28,6958.56,6793.82,6842.43,34110434052.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-15,6845.56,6928.66,6633.4,6642.11,32288311031.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-16,6640.45,7134.45,6555.5,7116.8,46783242377.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-17,7116.55,7167.18,7050.33,7096.18,32513423567.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-18,7092.29,7269.96,7089.25,7257.67,32447188386.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-19,7260.92,7280.52,7167.05,7189.42,31311210215.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-20,7186.87,7240.29,6835.5,6881.96,37747113936.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-21,6879.78,6934.55,6834.44,6880.32,32589741511.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-22,6879.44,7145.87,6867.78,7117.21,33249153866.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-23,7121.31,7491.79,7081.59,7429.72,43500782316.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-24,7434.18,7574.2,7434.18,7550.9,34636526286.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-25,7550.48,7641.36,7521.67,7569.94,32941541447.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-26,7570.14,7700.59,7561.41,7679.87,33070154491.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-27,7679.42,7795.6,7679.42,7795.6,36162144725.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-28,7796.97,7814.53,7730.81,7807.06,33187959921.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-04-29,7806.71,8871.75,7786.05,8801.04,60201052203.0,2025-08-15 01:18:52
