date,symbol,sector,action,price,shares,notional,position_shares_after,position_value_after,cash_after,total_equity_after,rsi_6,rsi_6_signal,rsi_12,rsi_12_signal,rsi_24,rsi_24_signal
2023-05-22,KRSB,Electric Power,sell,15.06,714.0,10746.27,70642.84,1063881.13,632038.07,1695919.2,67.2,hold,72.46,sell,73.14,sell
2023-05-22,MRKV,Electric Power,buy,0.04,1467583.0,58703.34,27120515.41,1084820.62,234813.36,1319633.97,25.06,buy,39.26,hold,47.71,hold
2023-05-24,KRSB,Electric Power,sell,15.27,706.0,10787.16,69936.41,1067928.97,642825.23,1710754.19,71.06,sell,70.51,sell,71.54,sell
2023-05-24,MRKV,Electric Power,sell,0.04,271205.0,10848.21,26849310.25,1073972.41,245661.56,1319633.97,76.48,sell,63.22,hold,58.18,hold
2023-05-25,KRSB,Electric Power,sell,15.22,699.0,10644.32,69237.04,1053787.82,653469.55,1707257.37,65.34,hold,67.59,hold,70.18,sell
2023-05-26,MRKV,Electric Power,sell,0.04,268493.0,10739.72,26580817.15,1063232.69,256401.29,1319633.97,84.19,sell,73.29,sell,64.83,hold
2023-05-29,MRKV,Electric Power,sell,0.04,265808.0,10632.33,26315008.98,1052600.36,267033.61,1319633.97,85.86,sell,74.89,sell,65.94,hold
2023-05-31,KRSB,Electric Power,buy,14.1,9269.0,130693.91,78506.12,1106936.24,522775.64,1629711.88,11.02,buy,26.64,buy,45.18,hold
2023-06-01,KRSB,Electric Power,buy,13.18,7933.0,104555.13,86438.98,1139265.74,418220.51,1557486.26,5.07,buy,16.06,buy,33.83,hold
2023-06-02,KRSB,Electric Power,buy,13.01,6429.0,83644.1,92868.2,1208215.22,334576.41,1542791.63,4.45,buy,14.78,buy,32.2,hold
2023-06-05,KRSB,Electric Power,buy,13.02,5139.0,66915.28,98007.62,1276059.18,267661.13,1543720.31,5.4,buy,15.25,buy,32.41,hold
2023-06-06,KRSB,Electric Power,buy,13.09,4090.0,53532.23,102097.17,1336451.94,214128.9,1550580.85,13.84,buy,18.95,buy,33.95,hold
2023-06-14,KRSB,Electric Power,sell,13.87,1021.0,14160.88,101076.2,1401926.86,228289.78,1630216.64,70.69,sell,53.25,hold,49.73,hold
2023-06-15,KRSB,Electric Power,sell,13.92,1011.0,14069.81,100065.44,1392910.86,242359.59,1635270.45,73.39,sell,55.04,hold,50.63,hold
2023-06-15,MRKV,Electric Power,sell,0.04,263150.0,10526.0,26051858.89,1042074.36,277559.62,1319633.97,88.28,sell,76.13,sell,66.83,hold
2023-06-16,KRSB,Electric Power,sell,14.0,1001.0,14009.16,99064.78,1386906.93,256368.75,1643275.68,77.94,sell,58.09,hold,52.12,hold
2023-06-16,MRKV,Electric Power,sell,0.04,260519.0,10420.74,25791340.3,1031653.61,287980.36,1319633.97,94.42,sell,84.5,sell,73.26,sell
2023-06-19,KRSB,Electric Power,sell,14.19,991.0,14057.29,98074.13,1391671.95,270426.04,1662097.99,85.94,sell,64.79,hold,55.58,hold
2023-06-19,MRKV,Electric Power,sell,0.04,257913.0,10316.54,25533426.9,1021337.08,298296.9,1319633.97,75.01,sell,73.72,sell,68.19,hold
2023-06-20,KRSB,Electric Power,sell,14.8,981.0,14514.97,97093.39,1436982.2,284941.01,1721923.21,94.65,sell,78.08,sell,64.51,hold
2023-06-21,KRSB,Electric Power,sell,14.66,971.0,14233.89,96122.46,1409155.23,299174.9,1708330.14,78.93,sell,70.83,sell,61.43,hold
2023-06-21,MRKV,Electric Power,sell,0.04,255334.0,10213.37,25278092.63,1011123.71,308510.27,1319633.97,71.3,sell,70.51,sell,67.03,hold
2023-06-22,MRKV,Electric Power,sell,0.04,252781.0,10111.24,25025311.7,1001012.47,318621.5,1319633.97,78.67,sell,74.94,sell,69.76,hold
2023-06-28,KRSB,Electric Power,sell,14.74,961.0,14168.45,95161.23,1402676.58,313343.35,1716019.93,72.02,sell,65.95,hold,60.22,hold
2023-06-29,KRSB,Electric Power,sell,14.8,952.0,14083.86,94209.62,1394302.39,327427.22,1721729.61,74.53,sell,67.44,hold,61.08,hold
2023-07-04,MRKV,Electric Power,sell,0.04,250253.0,10010.12,24775058.59,991002.34,328631.63,1319633.97,74.92,sell,65.61,hold,62.63,hold
2023-07-05,MRKV,Electric Power,sell,0.04,247751.0,9910.02,24527308.0,981092.32,338541.65,1319633.97,79.98,sell,69.22,hold,64.6,hold
2023-07-13,KRSB,Electric Power,sell,14.81,942.0,13952.44,93267.52,1381292.04,341379.66,1722671.7,77.4,sell,66.02,hold,59.91,hold
2023-07-13,MRKV,Electric Power,sell,0.04,245273.0,9810.92,24282034.92,971281.4,348352.58,1319633.97,77.92,sell,66.38,hold,62.19,hold
2023-07-14,KRSB,Electric Power,sell,15.06,933.0,14046.09,92334.85,1390562.84,355425.75,1745988.58,88.7,sell,75.38,sell,64.86,hold
2023-07-17,KRSB,Electric Power,sell,15.19,923.0,14025.66,91411.5,1388540.7,369451.41,1757992.12,91.71,sell,78.94,sell,67.15,hold
2023-07-17,MRKV,Electric Power,sell,0.05,242820.0,12141.02,24039214.57,1201960.73,360493.59,1562454.32,80.69,sell,69.82,hold,64.01,hold
2023-07-18,KRSB,Electric Power,sell,15.44,914.0,14113.94,90497.39,1397279.64,383565.35,1780844.99,95.18,sell,84.15,sell,71.1,sell
